Category,Product,Paper Type,Frame Type,Ratio,Size,Production Cost (USD),Shipping to USA (USD),Prod + Ship (USD)
Individual Art Print,Poster,Glossy,Unframed,1:1,4x4,3.04,4.91,7.95
Individual Art Print,Poster,Glossy,Unframed,1:1,5x5,3.14,4.91,8.05
Individual Art Print,Poster,Glossy,Unframed,1:1,6x6,3.28,4.91,8.19
Individual Art Print,Poster,Glossy,Unframed,1:1,8x8,3.81,4.91,8.72
Individual Art Print,Poster,Glossy,Unframed,1:1,10x10,4.57,4.91,9.48
Individual Art Print,Poster,Glossy,Unframed,1:1,12x12,5.65,4.91,10.56
Individual Art Print,Poster,Glossy,Unframed,1:1,14x14,6.25,4.91,11.16
Individual Art Print,Poster,Glossy,Unframed,1:1,16x16,7.36,4.91,12.27
Individual Art Print,Poster,Glossy,Unframed,1:1,17x17,7.73,4.91,12.64
Individual Art Print,Poster,Glossy,Unframed,1:1,18x18,10.93,4.91,15.84
Individual Art Print,Poster,Glossy,Unframed,1:1,19x19,11.37,4.91,16.28
Individual Art Print,Poster,Glossy,Unframed,1:1,20x20,10.09,7.1,17.19
Individual Art Print,Poster,Glossy,Unframed,1:1,23x23,11.36,7.1,18.46
Individual Art Print,Poster,Glossy,Unframed,1:1,24x24,11.85,8.1,19.95
Individual Art Print,Poster,Glossy,Unframed,1:1,28x28,13.94,8.1,22.04
Individual Art Print,Poster,Glossy,Unframed,1:1,30x30,15.12,8.1,23.22
Individual Art Print,Poster,Glossy,Unframed,1:1,32x32,16.37,8.1,24.47
Individual Art Print,Poster,Glossy,Unframed,1:1,36x36,19.09,8.1,27.19
Individual Art Print,Poster,Glossy,Unframed,1:1,40x40,22.17,8.1,30.27
Individual Art Print,Poster,Glossy,Unframed,2:3,4x6,3.11,4.91,8.02
Individual Art Print,Poster,Glossy,Unframed,2:3,8x12,4.17,4.91,9.08
Individual Art Print,Poster,Glossy,Unframed,2:3,12x18,6.53,4.91,11.44
Individual Art Print,Poster,Glossy,Unframed,2:3,16x24,8.86,4.91,13.77
Individual Art Print,Poster,Glossy,Unframed,2:3,18x27,12.85,4.91,17.76
Individual Art Print,Poster,Glossy,Unframed,2:3,20x30,12.1,7.1,19.2
Individual Art Print,Poster,Glossy,Unframed,2:3,24x36,14.75,8.1,22.85
Individual Art Print,Poster,Glossy,Unframed,2:3,30x45,19.64,8.1,27.74
Individual Art Print,Poster,Glossy,Unframed,2:3,32x48,21.5,8.1,29.6
Individual Art Print,Poster,Glossy,Unframed,2:3,36x54,25.59,8.1,33.69
Individual Art Print,Poster,Glossy,Unframed,2:3,40x60,30.19,8.1,38.29
Individual Art Print,Poster,Glossy,Unframed,3:4,6x8,3.41,4.91,8.32
Individual Art Print,Poster,Glossy,Unframed,3:4,9x12,4.61,4.91,9.52
Individual Art Print,Poster,Glossy,Unframed,3:4,12x16,6.23,4.91,11.14
Individual Art Print,Poster,Glossy,Unframed,3:4,18x24,12.2,4.91,17.11
Individual Art Print,Poster,Glossy,Unframed,3:4,24x32,13.79,8.1,21.89
Individual Art Print,Poster,Glossy,Unframed,3:4,30x40,18.13,8.1,26.23
Individual Art Print,Poster,Glossy,Unframed,3:4,36x48,23.44,8.1,31.54
Individual Art Print,Poster,Glossy,Unframed,3:4,42x56,29.72,8.1,37.82
Individual Art Print,Poster,Glossy,Unframed,4:5,8x10,3.99,4.91,8.9
Individual Art Print,Poster,Glossy,Unframed,4:5,12x15,6.09,4.91,11.0
Individual Art Print,Poster,Glossy,Unframed,4:5,16x20,8.1,4.91,13.01
Individual Art Print,Poster,Glossy,Unframed,4:5,20x25,11.09,7.1,18.19
Individual Art Print,Poster,Glossy,Unframed,4:5,24x30,13.3,8.1,21.4
Individual Art Print,Poster,Glossy,Unframed,4:5,32x40,18.92,8.1,27.02
Individual Art Print,Poster,Glossy,Unframed,4:5,36x45,22.36,8.1,30.46
Individual Art Print,Poster,Glossy,Unframed,4:5,40x50,26.16,8.1,34.26
Individual Art Print,Poster,Glossy,Unframed,A-Series,A6,3.11,4.91,8.02
Individual Art Print,Poster,Glossy,Unframed,A-Series,A5,3.41,4.91,8.32
Individual Art Print,Poster,Glossy,Unframed,A-Series,A4,4.2,4.91,9.11
Individual Art Print,Poster,Glossy,Unframed,A-Series,A3,6.0,4.91,10.91
Individual Art Print,Poster,Glossy,Unframed,A-Series,A2,8.9,4.91,13.81
Individual Art Print,Poster,Glossy,Unframed,A-Series,A1,13.85,7.1,20.95
Individual Art Print,Poster,Glossy,Unframed,A-Series,A0,21.64,8.1,29.74
Individual Art Print,Poster,Glossy,Unframed,Metric,20x30cm,3.94,4.91,8.85
Individual Art Print,Poster,Glossy,Unframed,Metric,30x24cm,4.66,4.91,9.57
Individual Art Print,Poster,Glossy,Unframed,Metric,28x40cm,5.77,4.91,10.68
Individual Art Print,Poster,Glossy,Unframed,Metric,30x40cm,5.93,4.91,10.84
Individual Art Print,Poster,Glossy,Unframed,Metric,40x50cm,7.61,4.91,12.52
Individual Art Print,Poster,Glossy,Unframed,Metric,50x70cm,13.54,4.91,18.45
Individual Art Print,Poster,Glossy,Unframed,Metric,70x100cm,17.0,8.1,25.1
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,3x7,3.07,4.91,7.98
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,5x7,3.25,4.91,8.16
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,5.1x7.1,3.28,4.91,8.19
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,4x10,3.3,4.91,8.21
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,5x10,3.44,4.91,8.35
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,5x12,3.55,4.91,8.46
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,6x12,3.71,4.91,8.62
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,7.9x9.8,3.74,4.91,8.65
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,6x14,3.83,4.91,8.74
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,8.5x11,4.38,4.91,9.29
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,9x11,4.52,4.91,9.43
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,6.8x16,4.13,4.91,9.04
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,10x12,4.82,4.91,9.73
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,8x16,4.54,4.91,9.45
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,10x13,4.94,4.91,9.85
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,6x24,4.54,4.91,9.45
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,9x16,5.05,4.91,9.96
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,11x14,5.56,4.91,10.47
Individual Art Print,Poster,Glossy,Unframed,Other Ratios,8x20,4.96,4.91,9.87
